epoch,accuracy,loss,lr,precision,recall,top_2_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_2_accuracy
0,0.13883468508720398,2.500511407852173,0.0005,0.1428571492433548,0.017005855217576027,0.2836831510066986,0.1699390709400177,2.1173412799835205,0.0,0.0,0.4274430274963379
1,0.12975427508354187,2.250760793685913,0.0005,0.11755233258008957,0.002907324116677046,0.2784658968448639,0.13766643404960632,2.0768518447875977,0.0,0.0,0.3951703906059265
2,0.11912063509225845,2.1231961250305176,0.0005,0.06666667014360428,0.0002787844859994948,0.27527979016304016,0.01466937456279993,2.4021170139312744,0.0,0.0,0.15436695516109467
3,0.12465649843215942,2.045994520187378,0.0005,0.0,0.0,0.2748018503189087,0.17039042711257935,1.9856350421905518,0.0,0.0,0.2805235981941223
4,0.11501851677894592,2.010141372680664,0.0005,0.0,0.0,0.2665179669857025,0.13766643404960632,1.9566713571548462,0.0,0.0,0.307605504989624
5,0.11947906762361526,1.9911975860595703,0.0005,0.0,0.0,0.27145645022392273,0.1374407559633255,1.9535069465637207,0.0,0.0,0.3085082471370697
6,0.1268867701292038,1.9778845310211182,0.0005,0.0,0.0,0.27978014945983887,0.10968178510665894,1.9748921394348145,0.0,0.0,0.24937936663627625
7,0.11115536093711853,1.9759224653244019,0.0005,0.0,0.0,0.2630132734775543,0.1396975815296173,1.9598007202148438,0.0,0.0,0.309636652469635
8,0.1169700101017952,1.966701865196228,0.0005,0.0,0.0,0.2687482535839081,0.1699390709400177,1.9246987104415894,0.0,0.0,0.3407808542251587
9,0.1205543801188469,1.9691615104675293,0.0005,0.0,0.0,0.2692660093307495,0.13766643404960632,1.950391411781311,0.0,0.0,0.348454087972641
10,0.12672746181488037,1.9645732641220093,0.0005,0.0,0.0,0.2772710919380188,0.1396975815296173,1.94204843044281,0.0,0.0,0.27736401557922363
11,0.11450077593326569,1.9661895036697388,0.0005,0.0,0.0,0.27014216780662537,0.01466937456279993,2.0143659114837646,0.0,0.0,0.12435115873813629
12,0.12047473341226578,1.9634171724319458,0.0005,0.0,0.0,0.2719343602657318,0.01466937456279993,2.211760997772217,0.0,0.0,0.12435115873813629
13,0.12314309924840927,1.9625276327133179,0.0005,0.0,0.0,0.2705404460430145,0.01466937456279993,1.963929295539856,0.0,0.0,0.15436695516109467
14,0.11708948761224747,1.962001085281372,0.0005,0.0,0.0,0.2634115219116211,0.16926202178001404,1.9415792226791382,0.0,0.0,0.3195666968822479
15,0.12190847843885422,1.9602470397949219,0.0005,0.0,0.0,0.27364689111709595,0.1396975815296173,1.954573154449463,0.0,0.0,0.3972015380859375
16,0.11282806843519211,1.9636636972427368,0.0005,0.0,0.0,0.26225656270980835,0.2575039565563202,1.9354928731918335,0.0,0.0,0.3671857416629791
17,0.11955872178077698,1.9600071907043457,0.0005,0.0,0.0,0.27420446276664734,0.2575039565563202,1.9243855476379395,0.0,0.0,0.3671857416629791
18,0.12378031760454178,1.959753155708313,0.0005,0.0,0.0,0.27547889947891235,0.13766643404960632,1.9304046630859375,0.0,0.0,0.24734823405742645
19,0.11083675175905228,1.958287000656128,0.0005,0.0,0.0,0.2591102719306946,0.1396975815296173,1.9542653560638428,0.0,0.0,0.309636652469635
20,0.12557250261306763,1.9584178924560547,0.0005,0.0,0.0,0.27794814109802246,0.13766643404960632,1.9537419080734253,0.0,0.0,0.1568494737148285
21,0.12258552759885788,1.9565995931625366,0.0005,0.0,0.0,0.2793819010257721,0.2575039565563202,1.9536160230636597,0.0,0.0,0.27217331528663635
22,0.12370066344738007,1.956525206565857,0.0005,0.0,0.0,0.2724919319152832,0.1396975815296173,1.9418045282363892,0.0,0.0,0.309636652469635
23,0.11593452841043472,1.9567116498947144,0.0005,0.0,0.0,0.2648452818393707,0.13766643404960632,1.9425902366638184,0.0,0.0,0.3085082471370697
24,0.12107212841510773,1.954494595527649,0.0005,0.0,0.0,0.27105817198753357,0.1699390709400177,1.9438947439193726,0.0,0.0,0.4274430274963379
25,0.1164124384522438,1.9537798166275024,0.0005,0.0,0.0,0.26078298687934875,0.1396975815296173,1.9349281787872314,0.0,0.0,0.24937936663627625
26,0.1284400075674057,1.953012228012085,0.0005,0.0,0.0,0.2777091860771179,0.01466937456279993,1.9686137437820435,0.0,0.0,0.18551117181777954
27,0.1143016442656517,1.953851342201233,0.0005,0.0,0.0,0.264964759349823,0.10968178510665894,1.9468598365783691,0.0,0.0,0.3671857416629791
28,0.1098012700676918,1.950242519378662,0.00025,0.0,0.0,0.2639292776584625,0.01466937456279993,1.958645224571228,0.0,0.0,0.12435115873813629
29,0.0989684984087944,1.9503591060638428,0.00025,0.0,0.0,0.24218407273292542,0.17084179818630219,1.939233660697937,0.0,0.0,0.4283457398414612
30,0.12131108343601227,1.949366569519043,0.00025,0.0,0.0,0.27436378598213196,0.10968178510665894,1.93912672996521,0.0,0.0,0.2805235981941223
31,0.11207136511802673,1.9492290019989014,0.00025,0.0,0.0,0.26353099942207336,0.2575039565563202,1.9304934740066528,0.0,0.0,0.4274430274963379
32,0.124497190117836,1.9483587741851807,0.00025,0.0,0.0,0.2687084376811981,0.10968178510665894,1.9429727792739868,0.0,0.0,0.24734823405742645
33,0.11306703090667725,1.948044776916504,0.00025,0.0,0.0,0.2681906819343567,0.01466937456279993,1.9495984315872192,0.0,0.0,0.18235161900520325
34,0.1076904684305191,1.9480630159378052,0.00025,0.0,0.0,0.2517423927783966,0.01466937456279993,1.963963270187378,0.0,0.0,0.12435115873813629
35,0.11836393177509308,1.9482518434524536,0.00025,0.0,0.0,0.27950137853622437,0.17084179818630219,1.9464102983474731,0.0,0.0,0.3105393946170807
36,0.10868612676858902,1.948058009147644,0.00025,0.0,0.0,0.25942888855934143,0.1654254049062729,1.9327930212020874,0.0,0.0,0.4283457398414612
